component_id,short_name,display_name,category,group,agencies,manufacturers,materials,summary,source_ids,timeline,model_storage_path,model_file_name,snapshot_storage_path,snapshot_file_name,is_default_selection,details
international-space-station,ISS,International Space Station,station-overview,Full Station,"{""NASA"",""Roscosmos"",""ESA"",""JAXA"",""CSA""}","{""International partnership with major elements built in the United States, Russia, Europe, Japan, and Canada""}","{""Aluminum pressure shells"",""steel and titanium structural fittings"",""composite solar-array blankets"",""multi-layer insulation"",""micrometeoroid and orbital-debris shielding""}","The International Space Station is a permanently crewed orbital laboratory assembled from pressurized modules, truss structures, solar arrays, radiators, docking ports, airlocks, robotics, and external payload platforms. It supports research in microgravity, human health, materials, Earth observation, technology demonstration, and long-duration space operations.","{""nasa-iss-home"",""nasa-iss-facts"",""iss-assembly""}","[{""date"":""1984-01-25"",""event"":""NASA formally began Space Station Freedom, the U.S. program that later became part of the ISS partnership.""},{""date"":""1993-09-02"",""event"":""The United States and Russia announced plans to merge station efforts into a joint international station program.""},{""date"":""1998-11-20"",""event"":""The first station element, Zarya, launched from Baikonur.""},{""date"":""2000-11-02"",""event"":""Expedition 1 began continuous human presence aboard the station.""},{""date"":""2011-05-19"",""event"":""AMS-02 was installed during STS-134, one of the final major Space Shuttle assembly missions.""},{""date"":""2025-11-02"",""event"":""The station marked 25 years of continuous human presence in orbit.""}]",usdzs%main_components/iss.usdz,iss_main_component.usdz,pngs%high_res/iss.png,iss_highres.png,true,"[{""title"":""Purpose"",""body"":""The station gives researchers a long-duration microgravity environment with crew, power, cooling, communications, and regular cargo access. It is also a proving ground for spacecraft operations, life-support systems, robotics, international mission control, and commercial activity in low Earth orbit.""},{""title"":""Architecture"",""body"":""The ISS is organized around pressurized laboratory and habitation modules connected to an external truss backbone. The truss carries large solar arrays, thermal radiators, external logistics carriers, spare hardware, and robotics interfaces.""},{""title"":""International Partnership"",""body"":""The station is operated by partner agencies from the United States, Russia, Europe, Japan, and Canada. Each partner contributes hardware, operations, research facilities, crew time, mission control support, or specialized systems such as robotics and laboratory modules.""},{""title"":""Life and Work"",""body"":""Crews live and work aboard the station for months at a time, maintaining station systems, performing science, exercising daily, receiving visiting vehicles, conducting spacewalks, and observing Earth through windows such as Cupola.""}]"
alpha-magnetic-spectrometer,AMS-02,Alpha Magnetic Spectrometer,external-payload,US Orbital Segment,"{""NASA"",""DOE"",""CERN-led international collaboration""}","{""AMS Collaboration; assembled at CERN""}","{""Aluminum structure"",""permanent magnet"",""silicon tracker"",""particle detector systems""}","A precision cosmic-ray detector mounted outside the ISS. It searches for antimatter, dark matter signatures, and missing matter while measuring high-energy particles from space.","{""cern-ams"",""iss-assembly""}","[{""date"":""2011-05-16"",""event"":""Launched on STS-134 aboard Space Shuttle Endeavour.""},{""date"":""2011-05-19"",""event"":""Installed on the station's external truss and began returning data.""}]",usdzs%secondary_components/AMS.usdz,AMS_secondary_component.usdz,,,false,[]
quest-airlock,Quest,Quest Joint Airlock,airlock,US Orbital Segment,"{""NASA""}","{""Boeing""}","{""Aluminum pressure shell"",""micrometeoroid shielding"",""thermal insulation""}",The primary US airlock for spacewalks. Quest supports both US Extravehicular Mobility Units and Russian Orlan spacesuits through equipment and crew lock sections.,"{""iss-assembly""}","[{""date"":""2001-07-12"",""event"":""Launched on STS-104 aboard Space Shuttle Atlantis.""},{""date"":""2001-07-15"",""event"":""Installed on Unity's starboard port.""}]",usdzs%secondary_components/Airlock.usdz,Airlock_secondary_component.usdz,,,false,[]
beam,BEAM,Bigelow Expandable Activity Module,habitat-demo,US Orbital Segment,"{""NASA""}","{""Bigelow Aerospace""}","{""Flexible fabric shell"",""restraint layers"",""micrometeoroid and orbital debris protection""}","An expandable habitat technology demonstrator. BEAM tests how soft-sided structures perform as protected, pressurized volume in low Earth orbit.","{""iss-assembly""}","[{""date"":""2016-04-08"",""event"":""Launched on SpaceX CRS-8.""},{""date"":""2016-04-16"",""event"":""Attached to the Tranquility module.""},{""date"":""2016-05-28"",""event"":""Expanded on orbit for long-duration habitat testing.""}]",usdzs%secondary_components/BEAM.usdz,BEAM_secondary_component.usdz,,,false,[]
bishop-airlock,Bishop,Bishop Airlock,airlock,US Orbital Segment,"{""Nanoracks"",""NASA""}","{""Nanoracks""}","{""Aluminum pressure shell"",""berthing mechanism"",""thermal and debris protection""}",A commercial airlock used to transfer payloads between the pressurized station interior and the external space environment.,"{""iss-assembly""}","[{""date"":""2020-12-06"",""event"":""Launched on SpaceX CRS-21.""},{""date"":""2020-12-19"",""event"":""Installed on the Tranquility module.""}]",usdzs%secondary_components/Bishop_Airlock.usdz,Bishop_Airlock_secondary_component.usdz,,,false,[]
columbus,Columbus,Columbus Laboratory,laboratory,European Orbital Segment,"{""ESA""}","{""Thales Alenia Space and Airbus Defence and Space""}","{""Aluminum pressure shell"",""payload rack structure"",""external experiment mounts""}","ESA's permanent research laboratory on the ISS. Columbus hosts internal science racks and external experiment platforms for life science, fluid physics, technology, and Earth or space observation.","{""esa-columbus"",""iss-assembly""}","[{""date"":""2008-02-07"",""event"":""Launched on STS-122 aboard Space Shuttle Atlantis.""},{""date"":""2008-02-11"",""event"":""Berthed to Harmony's starboard port.""}]",usdzs%secondary_components/Columbus.usdz,Columbus_secondary_component.usdz,,,false,[]
cupola,Cupola,Cupola,observation-module,US Orbital Segment,"{""ESA"",""NASA""}","{""Thales Alenia Space""}","{""Aluminum pressure shell"",""fused-silica and borosilicate window panes"",""external window shutters""}","A seven-window observation module used for Earth viewing, photography, visiting vehicle monitoring, and robotics operations.","{""iss-assembly""}","[{""date"":""2010-02-08"",""event"":""Launched with Tranquility on STS-130.""},{""date"":""2010-02-15"",""event"":""Relocated to Tranquility's Earth-facing port.""}]",usdzs%secondary_components/Cupola.usdz,Cupola_secondary_component.usdz,,,false,[]
express-logistics-carrier-1,ELC-1,ExPRESS Logistics Carrier 1,external-logistics,Integrated Truss Structure,"{""NASA""}","{""NASA Goddard Space Flight Center""}","{""Aluminum carrier structure"",""grapple fixture"",""power and data interfaces""}","An external platform that stores orbital replacement units and supports exposed payloads with structural, electrical, and data connections.","{""iss-assembly""}","[{""date"":""2009-11-16"",""event"":""Launched on STS-129.""},{""date"":""2009-11"",""event"":""Installed on the station truss as an external spare-parts and payload platform.""}]",usdzs%secondary_components/ELC_1.usdz,ELC_1_secondary_component.usdz,,,false,[]
express-logistics-carrier-2,ELC-2,ExPRESS Logistics Carrier 2,external-logistics,Integrated Truss Structure,"{""NASA""}","{""NASA Goddard Space Flight Center""}","{""Aluminum carrier structure"",""grapple fixture"",""power and data interfaces""}",A truss-mounted logistics platform for replacement hardware and external research payloads exposed to the space environment.,"{""iss-assembly""}","[{""date"":""2009-11-16"",""event"":""Launched on STS-129.""},{""date"":""2009-11"",""event"":""Installed on the station truss as an external spare-parts and payload platform.""}]",usdzs%secondary_components/ELC_2.usdz,ELC_2_secondary_component.usdz,,,false,[]
express-logistics-carrier-3,ELC-3,ExPRESS Logistics Carrier 3,external-logistics,Integrated Truss Structure,"{""NASA""}","{""NASA Goddard Space Flight Center""}","{""Aluminum carrier structure"",""grapple fixture"",""power and data interfaces""}",An external payload and spare-parts carrier added during the final Endeavour mission to the ISS.,"{""iss-assembly""}","[{""date"":""2011-05-16"",""event"":""Launched on STS-134.""},{""date"":""2011-05"",""event"":""Installed on the station truss.""}]",usdzs%secondary_components/ELC_3.usdz,ELC_3_secondary_component.usdz,,,false,[]
express-logistics-carrier-4,ELC-4,ExPRESS Logistics Carrier 4,external-logistics,Integrated Truss Structure,"{""NASA""}","{""NASA Goddard Space Flight Center""}","{""Aluminum carrier structure"",""grapple fixture"",""power and data interfaces""}",A truss-mounted logistics platform carried with the Permanent Multipurpose Module to expand external storage and payload capacity.,"{""iss-assembly""}","[{""date"":""2011-02-24"",""event"":""Launched on STS-133.""},{""date"":""2011-02"",""event"":""Installed on the station truss.""}]",usdzs%secondary_components/ELC_4.usdz,ELC_4_secondary_component.usdz,,,false,[]
external-stowage-platform-1,ESP-1,External Stowage Platform 1,external-logistics,US Orbital Segment,"{""NASA""}","{""NASA""}","{""Aluminum stowage structure"",""flight-releasable attachment mechanisms""}",An external platform for storing spare station hardware outside the pressurized modules.,"{""iss-assembly""}","[{""date"":""2001-03-08"",""event"":""Launched on STS-102.""},{""date"":""2001-03"",""event"":""Installed on the exterior of Destiny.""}]",usdzs%secondary_components/ESP1.usdz,ESP1_secondary_component.usdz,,,false,[]
external-stowage-platform-2,ESP-2,External Stowage Platform 2,external-logistics,US Orbital Segment,"{""NASA""}","{""NASA""}","{""Aluminum stowage structure"",""orbital replacement unit attachments""}",An external spare-parts platform that keeps replacement hardware near the airlock for spacewalk servicing.,"{""iss-assembly""}","[{""date"":""2005-07-26"",""event"":""Launched on STS-114.""},{""date"":""2005-08"",""event"":""Installed on the Quest airlock.""}]",usdzs%secondary_components/ESP2.usdz,ESP2_secondary_component.usdz,,,false,[]
external-stowage-platform-3,ESP-3,External Stowage Platform 3,external-logistics,Integrated Truss Structure,"{""NASA""}","{""NASA""}","{""Aluminum stowage structure"",""robotic grapple interfaces""}",A truss-mounted stowage platform for replacement components and hardware that can be handled robotically or during spacewalks.,"{""iss-assembly""}","[{""date"":""2007-08-08"",""event"":""Launched on STS-118.""},{""date"":""2007-08"",""event"":""Installed on the station truss.""}]",usdzs%secondary_components/ESP3.usdz,ESP3_secondary_component.usdz,,,false,[]
kibo-exposed-facility,JEM-EF,Kibo Exposed Facility,external-laboratory,Japanese Experiment Module,"{""JAXA""}","{""JAXA""}","{""Aluminum structure"",""payload interface units"",""thermal-control hardware""}","Kibo's external terrace for experiments directly exposed to vacuum, radiation, and the space thermal environment.","{""jaxa-kibo"",""iss-assembly""}","[{""date"":""2009-07-15"",""event"":""Launched on STS-127.""},{""date"":""2009-07"",""event"":""Installed outside the Kibo Pressurized Module.""}]",usdzs%secondary_components/JEM_EF.usdz,JEM_EF_secondary_component.usdz,,,false,[]
kibo-pressurized-module,JEM-PM,Kibo Pressurized Module,laboratory,Japanese Experiment Module,"{""JAXA""}","{""JAXA""}","{""Aluminum pressure shell"",""stainless steel"",""titanium"",""payload rack structure""}",The main pressurized Kibo laboratory. It supports long-duration Japanese and international experiments inside the station.,"{""jaxa-kibo"",""iss-assembly""}","[{""date"":""2008-05-31"",""event"":""Launched on STS-124.""},{""date"":""2008-06"",""event"":""Berthed to Harmony's port side.""}]",usdzs%secondary_components/JEM_PM.usdz,JEM_PM_secondary_component.usdz,,,false,[]
kibo-logistics-module-pressurized-section,JEM-PS,Kibo Logistics Module Pressurized Section,logistics-module,Japanese Experiment Module,"{""JAXA""}","{""JAXA""}","{""Aluminum pressure shell"",""payload rack interfaces""}","A pressurized storage and logistics module attached to Kibo, used for experiment equipment and supplies.","{""jaxa-kibo"",""iss-assembly""}","[{""date"":""2008-03-11"",""event"":""Launched on STS-123.""},{""date"":""2008-06-06"",""event"":""Moved to its final zenith location on Kibo.""}]",usdzs%secondary_components/JEM_PS.usdz,JEM_PS_secondary_component.usdz,,,false,[]
nauka-mlm,Nauka,Nauka Multipurpose Laboratory Module,laboratory,Russian Orbital Segment,"{""Roscosmos""}","{""Khrunichev State Research and Production Space Center""}","{""Aluminum pressure shell"",""propellant tanks"",""external experiment and robotics interfaces""}","Russia's multipurpose laboratory module, adding research volume, storage, crew systems, and attachment points for the European Robotic Arm.","{""iss-assembly""}","[{""date"":""2021-07-21"",""event"":""Launched on a Proton-M rocket.""},{""date"":""2021-07-29"",""event"":""Docked to Zvezda's nadir port after Pirs was removed.""}]",usdzs%secondary_components/MLM.usdz,MLM_secondary_component.usdz,,,false,[]
rassvet-mrm1,Rassvet,Rassvet Mini-Research Module 1,docking-and-research-module,Russian Orbital Segment,"{""Roscosmos"",""NASA""}","{""RKK Energia""}","{""Aluminum pressure shell"",""docking hardware"",""external stowage fittings""}",A Russian docking and storage module that provides a port for Soyuz and Progress vehicles and supports Russian-segment cargo and research operations.,"{""iss-assembly""}","[{""date"":""2010-05-14"",""event"":""Launched on STS-132 aboard Space Shuttle Atlantis.""},{""date"":""2010-05-18"",""event"":""Installed on Zarya's nadir port.""}]",usdzs%secondary_components/MRM1.usdz,MRM1_secondary_component.usdz,,,false,[]
poisk-mrm2,Poisk,Poisk Mini-Research Module 2,docking-and-airlock-module,Russian Orbital Segment,"{""Roscosmos""}","{""RKK Energia""}","{""Aluminum pressure shell"",""docking hardware"",""EVA equipment interfaces""}","A Russian module used for docking, research support, and spacewalk operations from the Russian segment.","{""iss-assembly""}","[{""date"":""2009-11-10"",""event"":""Launched on a Soyuz-U rocket with Progress M-MIM2.""},{""date"":""2009-11-12"",""event"":""Docked to Zvezda's zenith port.""}]",usdzs%secondary_components/MRM2.usdz,MRM2_secondary_component.usdz,,,false,[]
mobile-transporter-location,MT,Mobile Transporter Worksite,robotics-rail-system,Integrated Truss Structure,"{""NASA"",""CSA""}","{""NASA""}","{""Aluminum rail structure"",""steel drive and latching hardware"",""power and data umbilicals""}",The rail and worksite system that lets Canadarm2 and the Mobile Base System translate along the truss to reach external hardware.,"{""iss-assembly""}","[{""date"":""2002-04-08"",""event"":""Mobile Transporter rail hardware launched with the S0 truss on STS-110.""},{""date"":""2002-06-05"",""event"":""Mobile Base System launched on STS-111 to use the transporter rails.""}]",usdzs%secondary_components/MT_Location.usdz,MT_Location_secondary_component.usdz,,,false,[]
unity-node-1,Unity,Unity Node 1,node-module,US Orbital Segment,"{""NASA""}","{""Boeing""}","{""Aluminum pressure shell"",""Common Berthing Mechanism ports"",""micrometeoroid shielding""}",The first US-built ISS module and the connector between early Russian and US station elements. Unity provides six berthing locations for modules and adapters.,"{""iss-assembly""}","[{""date"":""1998-12-04"",""event"":""Launched on STS-88 aboard Space Shuttle Endeavour.""},{""date"":""1998-12-06"",""event"":""Connected to Zarya through PMA-1.""}]",usdzs%secondary_components/Node1.usdz,Node1_secondary_component.usdz,,,false,[]
